Date,Country Code,Population
1/1/2012,AZE,9297507
1/1/2000,BDI,6674286
1/1/2001,BDI,6839376
1/1/2002,BDI,7037727
1/1/2003,BDI,7264340
1/1/2004,BDI,7510771
1/1/2005,BDI,7770392
1/1/2006,BDI,8042579
1/1/2007,BDI,8328312
1/1/2008,BDI,8624280
1/1/2009,BDI,8926687
1/1/2010,BDI,9232753
1/1/2011,BDI,9540362
1/1/2012,BDI,9849569
1/1/2000,BEL,10251250
1/1/2001,BEL,10286570
1/1/2002,BEL,10332785
1/1/2003,BEL,10376133
1/1/2004,BEL,10421137
1/1/2005,BEL,10478617
1/1/2006,BEL,10547958
1/1/2007,BEL,10625700
1/1/2008,BEL,10709973
1/1/2009,BEL,10796493
1/1/2010,BEL,10895586
1/1/2011,BEL,11047744
1/1/2012,BEL,11142157
1/1/2000,BEN,6949366
1/1/2001,BEN,7174911
1/1/2002,BEN,7414744
1/1/2003,BEN,7665681
1/1/2004,BEN,7922796
1/1/2005,BEN,8182362
1/1/2006,BEN,8443671
1/1/2007,BEN,8707490
1/1/2008,BEN,8973293
1/1/2009,BEN,9240783
1/1/2010,BEN,9509798
1/1/2011,BEN,9779795
1/1/2012,BEN,10050702
1/1/2000,BFA,11607944
1/1/2001,BFA,11946080
1/1/2002,BFA,12296399
1/1/2003,BFA,12659086
1/1/2004,BFA,13034258
1/1/2005,BFA,13421929
1/1/2006,BFA,13822257
1/1/2007,BFA,14235075
1/1/2008,BFA,14659646
1/1/2009,BFA,15094967
1/1/2010,BFA,15540284
1/1/2011,BFA,15995313
1/1/2012,BFA,16460141
1/1/2000,BGD,132383265
1/1/2001,BGD,134729503
1/1/2002,BGD,137006279
1/1/2003,BGD,139185986
1/1/2004,BGD,141235035
1/1/2005,BGD,143135180
1/1/2006,BGD,144868702
1/1/2007,BGD,146457067
1/1/2008,BGD,147969967
1/1/2009,BGD,149503100
1/1/2010,BGD,151125475
1/1/2011,BGD,152862431
1/1/2012,BGD,154695368
1/1/2000,BGR,8170172
1/1/2001,BGR,8020282
1/1/2002,BGR,7868468
1/1/2003,BGR,7823557
1/1/2004,BGR,7781161
1/1/2005,BGR,7739900
1/1/2006,BGR,7699020
1/1/2007,BGR,7659764
1/1/2008,BGR,7623395
1/1/2009,BGR,7585131
1/1/2010,BGR,7534289
1/1/2011,BGR,7348328
1/1/2012,BGR,7304632
1/1/2000,BHR,668239
1/1/2001,BHR,698749
1/1/2002,BHR,732541
1/1/2003,BHR,772058
1/1/2004,BHR,820505
1/1/2005,BHR,879534
1/1/2006,BHR,950951
1/1/2007,BHR,1032353
1/1/2008,BHR,1116038
1/1/2009,BHR,1191539
1/1/2010,BHR,1251513
1/1/2011,BHR,1292764
1/1/2012,BHR,1317827
1/1/2000,BHS,297759
1/1/2001,BHS,303005
1/1/2002,BHS,309039
1/1/2003,BHS,315624
1/1/2004,BHS,322400
1/1/2005,BHS,329088
1/1/2006,BHS,335622
1/1/2007,BHS,342049
1/1/2008,BHS,348340
1/1/2009,BHS,354492
1/1/2010,BHS,360498
1/1/2011,BHS,366331
1/1/2012,BHS,371960
1/1/2000,BIH,3834364
1/1/2001,BIH,3879353
1/1/2002,BIH,3897579
1/1/2003,BIH,3895779
1/1/2004,BIH,3886723
1/1/2005,BIH,3879828
1/1/2006,BIH,3875157
1/1/2007,BIH,3868665
1/1/2008,BIH,3861201
1/1/2009,BIH,3853446
1/1/2010,BIH,3845929
1/1/2011,BIH,3839322
1/1/2012,BIH,3833916
1/1/2000,BLR,10005000
1/1/2001,BLR,9928000
1/1/2002,BLR,9865000
1/1/2003,BLR,9797000
1/1/2004,BLR,9730000
1/1/2005,BLR,9663000
1/1/2006,BLR,9604000
1/1/2007,BLR,9560000
1/1/2008,BLR,9528000
1/1/2009,BLR,9507000
1/1/2010,BLR,9490000
1/1/2011,BLR,9473000
1/1/2012,BLR,9464000
1/1/2000,BLZ,238586
1/1/2001,BLZ,245198
1/1/2002,BLZ,251766
1/1/2003,BLZ,258346
1/1/2004,BLZ,265040
1/1/2005,BLZ,271920
1/1/2006,BLZ,278985
1/1/2007,BLZ,286196
1/1/2008,BLZ,293544
1/1/2009,BLZ,301016
1/1/2010,BLZ,308595
1/1/2011,BLZ,316280
1/1/2012,BLZ,324060
1/1/2000,BMU,61833
1/1/2001,BMU,62504
1/1/2002,BMU,62912
1/1/2003,BMU,63325
1/1/2004,BMU,63740
1/1/2005,BMU,64154
1/1/2006,BMU,64523
1/1/2007,BMU,64888
1/1/2008,BMU,65273
1/1/2009,BMU,65636
1/1/2010,BMU,65124
1/1/2011,BMU,64564
1/1/2012,BMU,64806
1/1/2000,BOL,8495271
1/1/2001,BOL,8669066
1/1/2002,BOL,8843350
1/1/2003,BOL,9016787
1/1/2004,BOL,9187610
1/1/2005,BOL,9354709
1/1/2006,BOL,9517395
1/1/2007,BOL,9676456
1/1/2008,BOL,9834098
1/1/2009,BOL,9993406
1/1/2010,BOL,10156601
1/1/2011,BOL,10324445
1/1/2012,BOL,10496285
1/1/2000,BRA,174504898
1/1/2001,BRA,176968205
1/1/2002,BRA,179393768
1/1/2003,BRA,181752951
1/1/2004,BRA,184010283
1/1/2005,BRA,186142403
1/1/2006,BRA,188134315
1/1/2007,BRA,189996976
1/1/2008,BRA,191765567
1/1/2009,BRA,193490922
1/1/2010,BRA,195210154
1/1/2011,BRA,196935134
1/1/2012,BRA,198656019
1/1/2000,BRB,267190
1/1/2001,BRB,268296
1/1/2002,BRB,269524
1/1/2003,BRB,270844
1/1/2004,BRB,272205
1/1/2005,BRB,273568
1/1/2006,BRB,274923
1/1/2007,BRB,276277
1/1/2008,BRB,277634
1/1/2009,BRB,279006
1/1/2010,BRB,280396
1/1/2011,BRB,281804
1/1/2012,BRB,283221
1/1/2000,BRN,331801
1/1/2001,BRN,339114
1/1/2002,BRN,346407
1/1/2003,BRN,353649
1/1/2004,BRN,360797
1/1/2005,BRN,367815
1/1/2006,BRN,374697
1/1/2007,BRN,381440
1/1/2008,BRN,388017
1/1/2009,BRN,394400
1/1/2010,BRN,400569
1/1/2011,BRN,406512
1/1/2012,BRN,412238
1/1/2000,BTN,564350
1/1/2001,BTN,580888
1/1/2002,BTN,598455
1/1/2003,BTN,616383
1/1/2004,BTN,633893
1/1/2005,BTN,650417
1/1/2006,BTN,665568
1/1/2007,BTN,679365
1/1/2008,BTN,692159
1/1/2009,BTN,704542
1/1/2010,BTN,716939
1/1/2011,BTN,729429
1/1/2012,BTN,741822
1/1/2000,BWA,1755375
1/1/2001,BWA,1783349
1/1/2002,BWA,1808976
1/1/2003,BWA,1832602
1/1/2004,BWA,1854739
1/1/2005,BWA,1875805
1/1/2006,BWA,1895944
1/1/2007,BWA,1915187
1/1/2008,BWA,1933719
1/1/2009,BWA,1951715
1/1/2010,BWA,1969341
1/1/2011,BWA,1986701
1/1/2012,BWA,2003910
1/1/2000,CAF,3638316
1/1/2001,CAF,3704045
1/1/2002,CAF,3767248
1/1/2003,CAF,3829636
1/1/2004,CAF,3893595
1/1/2005,CAF,3960897
1/1/2006,CAF,4032102
1/1/2007,CAF,4106897
1/1/2008,CAF,4185106
1/1/2009,CAF,4266247
1/1/2010,CAF,4349921
1/1/2011,CAF,4436217
1/1/2012,CAF,4525209
1/1/2000,CAN,30769700
1/1/2001,CAN,31081900
1/1/2002,CAN,31362000
1/1/2003,CAN,31676000
1/1/2004,CAN,31995000
1/1/2005,CAN,32312000
1/1/2006,CAN,32576074
1/1/2007,CAN,32927517
1/1/2008,CAN,33317662
1/1/2009,CAN,33726915
1/1/2010,CAN,34126547
1/1/2011,CAN,34483975
1/1/2012,CAN,34880491
1/1/2000,CHE,7184250
1/1/2001,CHE,7229854
1/1/2002,CHE,7284753
1/1/2003,CHE,7339001
1/1/2004,CHE,7389625
1/1/2005,CHE,7437115
1/1/2006,CHE,7483934
1/1/2007,CHE,7551117
1/1/2008,CHE,7647675
1/1/2009,CHE,7743831
1/1/2010,CHE,7824909
1/1/2011,CHE,7912398
1/1/2012,CHE,7997152
1/1/2000,CHL,15454402
1/1/2001,CHL,15639289
1/1/2002,CHL,15819522
1/1/2003,CHL,15995658
1/1/2004,CHL,16168241
1/1/2005,CHL,16337749
1/1/2006,CHL,16504530
1/1/2007,CHL,16668892
1/1/2008,CHL,16831184
1/1/2009,CHL,16991729
1/1/2010,CHL,17150760
1/1/2011,CHL,17308449
1/1/2012,CHL,17464814
1/1/2000,CHN,1262645000
1/1/2001,CHN,1271850000
1/1/2002,CHN,1280400000
1/1/2003,CHN,1288400000
1/1/2004,CHN,1296075000
1/1/2005,CHN,1303720000
1/1/2006,CHN,1311020000
1/1/2007,CHN,1317885000
1/1/2008,CHN,1324655000
1/1/2009,CHN,1331260000
1/1/2010,CHN,1337705000
1/1/2011,CHN,1344130000
1/1/2012,CHN,1350695000
1/1/2000,CIV,16131332
1/1/2001,CIV,16420173
1/1/2002,CIV,16674987
1/1/2003,CIV,16909801
1/1/2004,CIV,17144325
1/1/2005,CIV,17393994
1/1/2006,CIV,17662417
1/1/2007,CIV,17949061
1/1/2008,CIV,18260044
1/1/2009,CIV,18601342
1/1/2010,CIV,18976588
1/1/2011,CIV,19389954
1/1/2012,CIV,19839750
1/1/2000,CMR,15927713
1/1/2001,CMR,16350440
1/1/2002,CMR,16782044
1/1/2003,CMR,17223277
1/1/2004,CMR,17674960
1/1/2005,CMR,18137734
1/1/2006,CMR,18611937
1/1/2007,CMR,19097676
1/1/2008,CMR,19595026
1/1/2009,CMR,20103945
1/1/2010,CMR,20624343
1/1/2011,CMR,21156272
1/1/2012,CMR,21699631
1/1/2000,COG,3126204
1/1/2001,COG,3205636
1/1/2002,COG,3283719
1/1/2003,COG,3363418
1/1/2004,COG,3448868
1/1/2005,COG,3542867
1/1/2006,COG,3646653
1/1/2007,COG,3758858
1/1/2008,COG,3876475
1/1/2009,COG,3995146
1/1/2010,COG,4111715
1/1/2011,COG,4225359
1/1/2012,COG,4337051
1/1/2000,COL,39897984
1/1/2001,COL,40558648
1/1/2002,COL,41216304
1/1/2003,COL,41872051
1/1/2004,COL,42527623
1/1/2005,COL,43184026
1/1/2006,COL,43841370
1/1/2007,COL,44498390
1/1/2008,COL,45153037
1/1/2009,COL,45802561
1/1/2010,COL,46444798
1/1/2011,COL,47078792
1/1/2012,COL,47704427
1/1/2000,COM,528312
1/1/2001,COM,541976
1/1/2002,COM,556028
1/1/2003,COM,570491
1/1/2004,COM,585389
1/1/2005,COM,600733
1/1/2006,COM,616526
1/1/2007,COM,632736
1/1/2008,COM,649291
1/1/2009,COM,666097
1/1/2010,COM,683081
1/1/2011,COM,700216
1/1/2012,COM,717503
1/1/2000,CPV,442426
1/1/2001,CPV,450812
1/1/2002,CPV,459140
1/1/2003,CPV,466939
1/1/2004,CPV,473577
1/1/2005,CPV,478651
1/1/2006,CPV,481940
1/1/2007,CPV,483713
1/1/2008,CPV,484651
1/1/2009,CPV,485714
1/1/2010,CPV,487601
1/1/2011,CPV,490556
1/1/2012,CPV,494401
1/1/2000,CRI,3929588
1/1/2001,CRI,4013488
1/1/2002,CRI,4093840
1/1/2003,CRI,4171145
1/1/2004,CRI,4246336
1/1/2005,CRI,4320130
1/1/2006,CRI,4392493
1/1/2007,CRI,4463226
1/1/2008,CRI,4532711
1/1/2009,CRI,4601424
1/1/2010,CRI,4669685
1/1/2011,CRI,4737680
1/1/2012,CRI,4805295
1/1/2000,CUB,11138416
1/1/2001,CUB,11175465
1/1/2002,CUB,11212125
1/1/2003,CUB,11245926
1/1/2004,CUB,11273363
1/1/2005,CUB,11292078
1/1/2006,CUB,11301100
1/1/2007,CUB,11301674
1/1/2008,CUB,11296355
1/1/2009,CUB,11288826
1/1/2010,CUB,11281768
1/1/2011,CUB,11276053
1/1/2012,CUB,11270957
1/1/2000,CYM,41685
1/1/2001,CYM,43317
1/1/2002,CYM,44742
1/1/2003,CYM,46032
1/1/2004,CYM,47299
1/1/2005,CYM,48623
1/1/2006,CYM,50026
1/1/2007,CYM,51472
1/1/2008,CYM,52912
1/1/2009,CYM,54275
1/1/2010,CYM,55509
1/1/2011,CYM,56601
1/1/2012,CYM,57570
1/1/2000,CYP,943287
1/1/2001,CYP,961481
1/1/2002,CYP,979877
1/1/2003,CYP,998142
1/1/2004,CYP,1015820
1/1/2005,CYP,1032586
1/1/2006,CYP,1048314
1/1/2007,CYP,1063095
1/1/2008,CYP,1077089
1/1/2009,CYP,1090553
1/1/2010,CYP,1103685
1/1/2011,CYP,1116513
1/1/2012,CYP,1128994
1/1/2000,CZE,10272322
1/1/2001,CZE,10236491
1/1/2002,CZE,10204853
1/1/2003,CZE,10207362
1/1/2004,CZE,10216016
1/1/2005,CZE,10235828
1/1/2006,CZE,10269134
1/1/2007,CZE,10334160
1/1/2008,CZE,10424336
1/1/2009,CZE,10487178
1/1/2010,CZE,10519792
1/1/2011,CZE,10496088
1/1/2012,CZE,10514810
1/1/2000,DEU,82211508
1/1/2001,DEU,82349925
1/1/2002,DEU,82488495
1/1/2003,DEU,82534176
1/1/2004,DEU,82516260
1/1/2005,DEU,82469422
1/1/2006,DEU,82376451
1/1/2007,DEU,82266372
1/1/2008,DEU,82110097
1/1/2009,DEU,81902307
1/1/2010,DEU,81776930
1/1/2011,DEU,81797673
1/1/2012,DEU,81889839
1/1/2000,DJI,722887
1/1/2001,DJI,733732
1/1/2002,DJI,744434
1/1/2003,DJI,755085
1/1/2004,DJI,765776
1/1/2005,DJI,776585
1/1/2006,DJI,787544
1/1/2007,DJI,798690
1/1/2008,DJI,810100
1/1/2009,DJI,821865
1/1/2010,DJI,834036
1/1/2011,DJI,846646
1/1/2012,DJI,859652
1/1/2000,DMA,69679
1/1/2001,DMA,69660
1/1/2002,DMA,69806
1/1/2003,DMA,70058
1/1/2004,DMA,70325
1/1/2005,DMA,70542
1/1/2006,DMA,70690
1/1/2007,DMA,70795
1/1/2008,DMA,70883
1/1/2009,DMA,70996
1/1/2010,DMA,71167
1/1/2011,DMA,71401
1/1/2012,DMA,71684
1/1/2000,DNK,5339616
1/1/2001,DNK,5358783
1/1/2002,DNK,5375931
1/1/2003,DNK,5390574
1/1/2004,DNK,5404523
1/1/2005,DNK,5419432
1/1/2006,DNK,5437272
1/1/2007,DNK,5461438
1/1/2008,DNK,5493621
1/1/2009,DNK,5523095
1/1/2010,DNK,5547683
1/1/2011,DNK,5570572
1/1/2012,DNK,5590478
1/1/2000,DOM,8663421
1/1/2001,DOM,8799298
1/1/2002,DOM,8935261
1/1/2003,DOM,9071318
1/1/2004,DOM,9207389
1/1/2005,DOM,9343362
1/1/2006,DOM,9479269
1/1/2007,DOM,9615015
1/1/2008,DOM,9750195
1/1/2009,DOM,9884265
1/1/2010,DOM,10016797
1/1/2011,DOM,10147598
1/1/2012,DOM,10276621
1/1/2000,DZA,31719449
1/1/2001,DZA,32150198
1/1/2002,DZA,32572977
1/1/2003,DZA,33003442
1/1/2004,DZA,33461345
1/1/2005,DZA,33960903
1/1/2006,DZA,34507214
1/1/2007,DZA,35097043
1/1/2008,DZA,35725377
1/1/2009,DZA,36383302
1/1/2010,DZA,37062820
1/1/2011,DZA,37762962
1/1/2012,DZA,38481705
1/1/2000,ECU,12533087
1/1/2001,ECU,12780869
1/1/2002,ECU,13030041
1/1/2003,ECU,13279806
1/1/2004,ECU,13529091
1/1/2005,ECU,13777131
1/1/2006,ECU,14023503
1/1/2007,ECU,14268397
1/1/2008,ECU,14512402
1/1/2009,ECU,14756424
1/1/2010,ECU,15001072
1/1/2011,ECU,15246481
1/1/2012,ECU,15492264
1/1/2000,EGY,66136590
1/1/2001,EGY,67204189
1/1/2002,EGY,68302914
1/1/2003,EGY,69432477
1/1/2004,EGY,70591288
1/1/2005,EGY,71777678
1/1/2006,EGY,72990754
1/1/2007,EGY,74229577
1/1/2008,EGY,75491922
1/1/2009,EGY,76775023
1/1/2010,EGY,78075705
1/1/2011,EGY,79392466
1/1/2012,EGY,80721874
1/1/2000,ERI,3939348
1/1/2001,ERI,4101609
1/1/2002,ERI,4281576
1/1/2003,ERI,4472533
1/1/2004,ERI,4665522
1/1/2005,ERI,4854066
1/1/2006,ERI,5035036
1/1/2007,ERI,5209846
1/1/2008,ERI,5382163
1/1/2009,ERI,5557889
1/1/2010,ERI,5741159
1/1/2011,ERI,5932852
1/1/2012,ERI,6130922
1/1/2000,ESP,40263216
1/1/2001,ESP,40720484
1/1/2002,ESP,41313973
1/1/2003,ESP,42004522
1/1/2004,ESP,42691689
1/1/2005,ESP,43398143
1/1/2006,ESP,44116441
1/1/2007,ESP,44878945
1/1/2008,ESP,45555716
1/1/2009,ESP,45908594
1/1/2010,ESP,46070971
1/1/2011,ESP,46174601
1/1/2012,ESP,46217961
1/1/2000,EST,1369515
1/1/2001,EST,1364101
1/1/2002,EST,1358644
1/1/2003,EST,1353557
1/1/2004,EST,1349290
1/1/2005,EST,1346097
1/1/2006,EST,1343547
1/1/2007,EST,1341672
1/1/2008,EST,1340675
1/1/2009,EST,1340271
1/1/2010,EST,1340161
1/1/2011,EST,1339928
1/1/2012,EST,1339396
1/1/2000,ETH,66024199
1/1/2001,ETH,67956866
1/1/2002,ETH,69948344
1/1/2003,ETH,71989666
1/1/2004,ETH,74066147
1/1/2005,ETH,76167240
1/1/2006,ETH,78290649
1/1/2007,ETH,80440708
1/1/2008,ETH,82621190
1/1/2009,ETH,84838032
1/1/2010,ETH,87095281
1/1/2011,ETH,89393063
1/1/2012,ETH,91728849
1/1/2000,FIN,5176209
1/1/2001,FIN,5188008
1/1/2002,FIN,5200598
1/1/2003,FIN,5213014
1/1/2004,FIN,5228172
1/1/2005,FIN,5246096
1/1/2006,FIN,5266268
1/1/2007,FIN,5288720
